Area,Hazard,Likelihood,Impact,Elimination,Mitigation
General Farm,UV / Sun Exposure,4,2,Schedule outdoor work for early morning/late afternoon.,Mandatory wide-brimmed hats; provide SPF 50+ sunscreen.
General Farm,Extreme Weather,3,3,Move all students to indoor classrooms during storms.,Provide high-quality thermal and waterproof gear.
General Farm,Slips Trips & Falls,4,2,Remove loose debris from tracks; level entrances.,Wear high-grip steel-toe gumboots; flag hidden holes.
Sheep Yards,Crush Zones,3,4,Never enter a race/pen with more than 3-4 sheep.,Use 'One-person one-gate' rule; identify exit paths first.
Sheep Yards,Animal Impact,3,4,Draft off aggressive/stressed animals before class.,Use low-stress handling; avoid standing in blind spots.
Sheep Yards,Needle/Sharp Sticks,2,3,Use needle-less injection systems for vaccinations.,Secure animal in head-bail/race first; cap needles.
Chicken Coop,Zoonoses (Salmonella),3,3,Do not handle birds that appear lethargic or ill.,Mandatory hand washing; use disposable gloves.
Chicken Coop,Respiratory (Dust),4,2,Install automated ventilation to extract coop dust.,Dampen bedding before cleaning; wear P2 dust masks.
Orchard,Falls from Height,3,4,Use long-reach pole pruners to stay on the ground.,Use 3-point contact on ladders; ground-spotter mandatory.
Orchard,Stinging Insects,3,2,Remove fallen/rotten fruit daily to avoid wasps.,Check trees for nests; carry first-aid sting kits.
Garden Beds,Sharp Hand Tools,3,2,Do not use damaged or blunt hand tools.,Cut away from body; wear protective leather gloves.
Garden Beds,Soil-borne Pathogens,3,3,Use pre-sterilized commercial potting mixes.,Wear gloves; ensure Tetanus vaccinations are current.
Stream Work,Drowning/Deep Water,2,5,No stream access allowed within 48 hours of heavy rain.,Use 'buddy' system; wear wader belts to prevent water entry.
Stream Work,Leptospirosis,2,5,Fence off stream to prevent livestock access.,Cover cuts with waterproof bandages; wash hands.
Stream Work,Bank Instability,3,4,Stabilize banks with retaining structures or planting.,Check depth with a staff before stepping down.
Forest,Power Tools (Chainsaw),2,5,Strictly prohibit student operation of motorized cutting tools.,Maintain 15m Safety Circle; full PPE for teachers.
Forest,Possum Traps,2,4,Use walk-in cage traps instead of mechanical kill-traps.,Use specialized setting tools; keep hands clear of jaws.
Bees,Anaphylaxis,1,5,Check student allergy registers and eliminate yard access for hyper-sensitive individuals.,Wear full protective bee suits; keep EpiPens on scene.
